ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
00B41216313A963062908BDD495FC505EECFAC2F_64;46505;41462;1;55805;56105;57876;[(46505, 41462, 2790758)]
00BA0EBB6138630A0B575D9D224E5647BB37798C_65;41333;41322;1;30490;30790;31548;[(41333, 41322, 2793235)]
00BD0CEB57F02E0131DF0B75E141011FF84FEF84_66;42413;46499;1;25941;26241;27644;[(42413, 46499, 2794676)]
00BD0CEB57F02E0131DF0B75E141011FF84FEF84_67;46500;42409;1;44368;44668;45946;[(46500, 42409, 2791606)]
00BD0CEB57F02E0131DF0B75E141011FF84FEF84_68;42584;42409;1;95245;95545;97240;[(42584, 42409, 2793923)]
00C06564B3D4BF419B9371BD939B1691ED73C718_69;46099;46102;1;25944;26244;27050;[(46099, 46102, 2793805)]
00C06564B3D4BF419B9371BD939B1691ED73C718_70;46102;48139;1;55588;55888;61530;[(46102, 41860, 2792340), (41857, 48139, 2791765)]
00C307B2C9F0F885029CAE0E314BCF65EA38D6B1_71;41354;46470;1;43313;43613;45870;[(41354, 46470, 2790967)]
00C307B2C9F0F885029CAE0E314BCF65EA38D6B1_72;44163;41220;1;59922;60222;62518;[(44163, 41220, 2793010)]
00CB6DB6FC0E5C6239C8F22F6026F269577A856B_73;42111;41322;1;45765;46065;48534;[(42111, 41392, 2793518), (41392, 41322, 2792737)]
00CB6DB6FC0E5C6239C8F22F6026F269577A856B_74;41341;42110;1;75396;75696;77352;[(41341, 43238, 2793542), (41393, 42110, 2794226)]
00CD13627C120456F3B2472D1F42E1843BDCCEC1_75;41431;41416;1;61496;61796;62860;[(41431, 41416, 2793965)]
00D059A0055061520FE51CB7C6775FC89C102701_76;46458;42534;1;49400;49700;50710;[(46458, 42534, 2793555)]
00D059A0055061520FE51CB7C6775FC89C102701_77;42535;46453;1;62686;62986;64168;[(42535, 46453, 2793630)]
00D059A0055061520FE51CB7C6775FC89C102701_78;46455;43979;1;65741;66041;71998;[(46455, 46355, 2793754), (44161, 43979, 2792257)]
00D059A0055061520FE51CB7C6775FC89C102701_79;43387;46450;1;75010;75310;80136;[(43387, 41958, 2794353), (41952, 46450, 2793926)]
00D2B109505C413CDF54DB47E8017453906A9A2C_80;42192;41839;1;25907;26207;29688;[(42192, 45011, 2790570), (41887, 41839, 2792155)]
00D4033B667485B2B5CF8B62D3A3C785B5F6C1FC_81;41857;46423;1;25054;25354;27388;[(41857, 46423, 2790541)]
00DA52F08BEE4CB926A4B02E7F3B57CBDA1D6809_82;41229;41461;1;28999;29299;30650;[(41229, 41461, 2792701)]
00F41DC4EACC80F2CE2A85560969F3C1428DFF6B_83;43120;41386;1;26359;26659;30292;[(43120, 43147, 2791492), (43147, 41386, 2791291)]
00F513B432B890BD1A5525B3C9FAF7FBE72451FA_84;43380;41608;1;21483;21783;23048;[(43380, 41608, 2792723)]
010512CA4A16D7AF258B49DC2443606E14A96E95_85;47031;41880;1;77021;77321;79558;[(47031, 41880, 2794289)]
011C33194D734A62CD444C1B9D5ACE63AC984C45_86;41895;41283;1;57710;58010;59000;[(41895, 41283, 2792557)]
011C598CBFD71F634B9CBB2EAA25D34711473980_87;44903;46295;1;48041;48341;50874;[(44903, 46295, 2791801)]
011CB25BDD8C91D823C3370925EC59C1A5CDB5F5_88;42009;41322;1;58943;59243;62048;[(42009, 41322, 2792087)]
0122CC2E7DD8BB53947F42EADA70FAD69E068B13_89;46434;42902;1;24957;25257;26502;[(46434, 42902, 2792158)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_90;42511;41424;1;41003;41303;46830;[(42511, 42516, 2793376), (42516, 41424, 2790725)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_91;41423;42510;1;47445;47745;48726;[(41423, 42510, 2792003)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_92;42511;41424;1;54961;55261;56168;[(42511, 41424, 2793425)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_93;41423;41894;1;57065;57365;61256;[(41423, 42481, 2793339), (41415, 41894, 2792844)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_94;41667;41414;1;68731;69031;70682;[(41667, 41431, 2793301), (41431, 41414, 2793969)]
012456B005FF8EDEAE44BBBD6BCD3C76083B04DE_95;42964;44913;1;61553;61853;63920;[(42964, 44913, 2791731)]
0124BAE2E9AE4AEA08616CAC889A8C7F5B89A066_96;41965;41268;1;25499;25799;26902;[(41965, 41268, 2791044)]
0124BAE2E9AE4AEA08616CAC889A8C7F5B89A066_97;46074;41964;1;60092;60392;61396;[(46074, 41964, 2793819)]
